location_names,first_trip_month,last_trip_month,lat,lon,still_active,region
Taraval St at 41st Ave to 40th Ave,2023-11,2026-07,37.742,-122.499,True,SF
West Portal: 15th to Ulloa East; West Portal MUNI,2023-11,2026-07,37.741,-122.466,True,SF
Taraval St at 23rd Ave to 21st Ave; Taraval St at 22nd St,2023-11,2026-07,37.743,-122.479,True,SF
 Sloat Blvd at The Great Highway to 46th Ave; San Francisco Zoo,2023-11,2026-07,37.735,-122.505,True,SF
Taraval St: 41st St to 40th St; Taraval-4,2023-11,2026-07,37.742,-122.498,True,SF
Forest Hill Muni Station,2023-11,2026-07,37.748,-122.459,True,SF
Great Hwy at Taraval St; Taraval St at The Great Highway to 45th Ave; Great Highway at Taraval St,2023-11,2026-07,37.742,-122.507,True,SF
Vincente St at The Great Highway,2023-11,2023-11,37.739,-122.507,False,SF
West Portal at 15th Ave to Ulloa Street; West Portal: 15th to Ulloa West,2023-11,2025-01,37.738,-122.469,False,SF
Ocean Avenue at Fairfield Way to Plymouth Ave West; Ocean-2W,2023-11,2023-11,37.725,-122.462,False,SF
Vincente St at Great Hwy,2023-11,2026-07,37.738,-122.506,True,SF
Hellman Hollow,2023-11,2026-07,37.77,-122.485,True,SF
30th Ave,2023-11,2026-07,37.771,-122.49,True,SF
Great Hwy At Rivera St; Rivera St at The Great Highway; Rivera-1,2023-11,2024-10,37.746,-122.507,False,SF
Ocean Avenue East: to Plymouth Ave; Ocean Avenue at Fairfield Way to Plymouth Ave East; Ocean-2E; E Ocean Avenue: Fairfield Way to Plymouth Ave East,2023-11,2026-07,37.724,-122.459,True,SF
Ocean Ave West: To Fairfield Way,2023-11,2026-07,37.725,-122.461,True,SF
Quintara at 21st,2023-11,2024-10,37.749,-122.478,False,SF
Buchanan St at Lombard St,2023-12,2026-07,37.801,-122.433,True,SF
Fell St at Clayton St,2024-01,2026-07,37.773,-122.449,True,SF
Valencia St at Duncan St,2024-02,2026-07,37.747,-122.42,True,SF
3rd St at King St,2024-03,2026-07,37.778,-122.391,True,SF
Daly City BART,2024-03,2026-07,37.708,-122.468,True,SF
West Crissy Field,2024-04,2026-07,37.804,-122.468,True,SF
Cambon Dr at Castelo Ave,2024-04,2026-07,37.718,-122.474,True,SF
Lakewood Ave at Ocean Ave,2024-04,2026-07,37.726,-122.464,True,SF
Junipero Serra Blvd at Ocean Ave,2024-04,2026-07,37.731,-122.472,True,SF
Cortland Ave at Wool St,2024-04,2026-07,37.739,-122.417,True,SF
Great Highway at Noriega St,2024-05,2026-07,37.753,-122.509,True,SF
La Playa St at Judah St,2024-05,2024-10,37.761,-122.509,False,SF
Toland St at Jerrold Ave,2024-05,2026-07,37.744,-122.399,True,SF
In Chan Kaajal Park,2024-05,2026-07,37.764,-122.416,True,SF
Balboa Park BART,2024-05,2026-07,37.723,-122.447,True,SF
Mechanics Monument Plaza,2024-05,2026-07,37.792,-122.4,True,SF
Montgomery St BART Station,2024-05,2024-05,37.791,-122.403,False,SF
Potrero del Sol Park,2024-05,2026-07,37.752,-122.406,True,SF
San Francisco Caltrain East,2024-05,2024-09,37.776,-122.395,False,SF
Judson Ave at Foerster St,2024-06,2024-08,37.728,-122.449,False,SF
Quintara St at Great Highway,2024-10,2026-07,37.747,-122.508,True,SF
Vicente St at 26th Ave,2024-10,2026-07,37.739,-122.483,True,SF
Lincoln Blvd at Hoffman St,2024-10,2026-07,37.806,-122.47,True,SF
Great Highway at Judah St,2024-10,2026-07,37.761,-122.51,True,SF
Parque Ninos Unidos,2024-10,2026-07,37.754,-122.413,True,SF
37th Ave at Rivera St,2024-10,2026-07,37.746,-122.495,True,SF
24th Ave at Quintara St,2024-10,2026-07,37.749,-122.482,True,SF
Crissy Field Overlook,2024-11,2026-07,37.804,-122.47,True,SF
Golden Gate Ave at Baker St,2024-11,2025-02,37.778,-122.442,False,SF
Sansome St at Sutter St,2024-12,2026-07,37.791,-122.401,True,SF
Sanchez St at 24th St,2024-12,2025-08,37.752,-122.43,False,SF
Vicksburg St at 24th St,2024-12,2024-12,37.752,-122.429,False,SF
Byxbee St at Shields St,2025-01,2026-07,37.718,-122.47,True,SF
Ashton Ave at Holloway Ave,2025-01,2026-07,37.722,-122.462,True,SF
Drumm St at Market St,2025-02,2026-07,37.794,-122.396,True,SF
Pine St at Market St,2025-02,2026-07,37.792,-122.398,True,SF
Main St at Market St,2025-03,2026-02,37.793,-122.396,False,SF
Berry HQ,2025-03,2025-03,37.776,-122.392,False,SF
Sutter St at Montgomery St,2025-03,2026-07,37.79,-122.402,True,SF
15th St at Valencia St,2025-04,2026-07,37.767,-122.422,True,SF
Kearny St at Bush St,2025-04,2026-07,37.791,-122.404,True,SF
Bush St at Leavenworth St,2025-06,2026-07,37.789,-122.415,True,SF
Sutter St at Taylor St,2025-06,2026-07,37.789,-122.412,True,SF
Lincoln Blvd at Bowley St,2025-06,2026-07,37.792,-122.481,True,SF
Illinois St at 16th St,2025-06,2026-07,37.767,-122.388,True,SF
Powell St at Green St,2025-06,2026-07,37.799,-122.411,True,SF
Folsom St at 21st St,2025-07,2026-07,37.757,-122.415,True,SF
Taylor St at Pacific Ave,2025-07,2026-07,37.796,-122.413,True,SF
Howard St at Hawthorne St,2025-08,2026-06,37.786,-122.4,True,SF
Vicente St at 27th Ave,2025-08,2025-09,37.739,-122.484,False,SF
29th St at San Jose Ave,2025-08,2025-08,37.744,-122.422,False,SF
Mission St at Beale St,2025-09,2026-07,37.791,-122.396,True,SF
Westlake Library,2025-09,2026-07,37.697,-122.485,True,SF
Westlake Shopping Center,2025-09,2026-07,37.7,-122.481,True,SF
Mission St at John Daly Blvd,2025-09,2026-07,37.705,-122.462,True,SF
Templeton Ave at Mission St,2025-09,2026-07,37.708,-122.455,True,SF
Edgeworth Ave at 91st St,2025-09,2026-07,37.69,-122.474,True,SF
Filbert St at Powell Street,2025-10,2025-11,37.801,-122.411,False,SF
Minna St at 1st St; Natoma St at 1st St; Salesforce Tower Virtual Station,2025-10,2026-07,37.789,-122.397,True,SF
School St at Bruno Ave,2025-10,2026-07,37.693,-122.466,True,SF
Westlake Ave at Miriam St,2025-10,2026-07,37.7,-122.465,True,SF
Rio Verde St at Geneva Ave,2025-10,2026-07,37.707,-122.416,True,SF
